id,fullName,firstName,headline,company,jobTitle,location,profileUrl,email,bio,website,followers,customNotes,linkedinMessage,emailMessage,draftStatus,lastDraftedAt,source,businessCategory,rating,reviewCount,priceRange,phone,address,priorityScore,priorityLevel,websiteStatus,reviewSummary,outreachAngle,whatsappMessage,analysisStatus,lastAnalyzedAt,leadStatus,lastContactedAt,followUpDate,dealValue
cb088e42-2e8e-447e-a205-433b623af679,,,,Miles 'O' Smiles Dental Clinic,,Mumbai,https://www.google.com/maps/search/?api=1&query=Miles%20'O'%20Smiles%20Dental%20Clinic&query_place_id=ChIJvQQPdwO35zsR3m4Jwe737G8,,,,,,,"Your clinic's 4.9-star rating from 65 reviews speaks volumes. Without a website, though, potential patients in Mumbai searching for a top dentist might never find you. A clean, conversion-focused site can showcase your reputation and turn visitors into new patients—built fast, in 2–3 weeks. Worth a quick chat? 

the sender",done,2026-06-23T12:56:10.222Z,maps,Dental Clinic,4.9,65,,+91 99878 86812,"C-10 1/2, Akurli Rd, near unity bank",85,high,no_website,"Highly rated with 4.9 stars from 65 reviews, indicating exceptional patient satisfaction and quality care.",Your clinic has a stellar 4.9-star rating but no online presence. A professional website will showcase your reputation and attract new patients searching for top-rated dentists in Mumbai.,"Hey there, just saw your clinic has a 4.9 rating from 65 reviews—that's incredible. But I noticed you don't have a website yet. A simple site could help new patients in Mumbai find you and see why people love you. Worth a quick chat?",done,2026-06-23T12:56:01.324Z,new,,,
d1f8b8c3-1ee0-4eec-a403-1bd469c25291,,,,Dr Apurva's Shree Dental Clinic,,Mumbai,https://www.google.com/maps/search/?api=1&query=Dr%20Apurva's%20Shree%20Dental%20Clinic&query_place_id=ChIJ-QQLT8Kw5zsRz2cV4i5ZT4Y,,,,,,,,idle,,maps,Dental Clinic,5,120,,+91 76660 51702,"Shop No 1, Shilptaru Residency, Wamanrao Sawant Rd, next to Janseva Bank",85,high,no_website,"Highly rated with 120 reviews and a perfect 5.0 score, indicating exceptional patient satisfaction and trust.",Your clinic already has outstanding social proof from 120 five-star reviews — a professional website will amplify your credibility and help convert more new patients online.,,done,2026-06-23T12:57:41.236Z,new,2026-06-17T00:00:00.000Z,2026-06-24,
d5fad740-9813-4b0c-a393-342b7397f209,,,,Mahavir Dental Clinic,,Mumbai,https://www.google.com/maps/search/?api=1&query=Mahavir%20Dental%20Clinic&query_place_id=ChIJJV4PDZix5zsRbLoblIR4WEk,,,,,,,,idle,,maps,Dental Clinic,5,51,,+91 93218 84049,"Shop no 4, A/7 Building",85,high,no_website,"Highly rated with a perfect 5.0 score from 51 reviews, indicating strong patient satisfaction and an established local reputation.","Your clinic has excellent reviews and a strong local presence, but lacks a website. We can build a professional site to showcase your services, attract new patients, and compete more effectively online.",,done,2026-06-23T12:57:38.808Z,new,,,
e02532e0-a9dc-4d61-a2de-0624826fe154,,,,Dr. Shikha's Dental Clinic,,Mumbai,https://www.google.com/maps/search/?api=1&query=Dr.%20Shikha's%20Dental%20Clinic&query_place_id=ChIJffvOBs2w5zsRjueZlKm5Mms,,,,,,,,idle,,maps,Dental Clinic,4.4,18,,+91 91468 72088,"Shop No. 3, TOWER-B, Sant Gora Kumbhar Marg",65,medium,no_website,"Positive reviews with a high rating of 4.4, indicating good patient satisfaction.","Your dental clinic lacks a website, missing out on patient acquisition and credibility. We can build a professional site to attract more clients.",,done,2026-06-23T12:58:14.318Z,new,,,
730fa4bb-7a64-44de-a08b-3aa196f168ba,,,,Patel Dental Care,,Mumbai,https://www.google.com/maps/search/?api=1&query=Patel%20Dental%20Care&query_place_id=ChIJTVXF0Tq35zsRxJsFmh710e8,,,,,,,,idle,,maps,Dental clinic,4.9,79,,+91 84338 07774,"Shop no 28, Gayatri Darshan building, Near Bay leaf restaurant ,, Thakur complex, kandivali east, opposite Shivalaya Juice Centre",,,,,,,idle,,new,,,
df8e55c7-a3f2-4c6b-9653-606a53e41c44,,,,RMT Trust Dental Clinic,,Mumbai,https://www.google.com/maps/search/?api=1&query=RMT%20Trust%20Dental%20Clinic&query_place_id=ChIJ_chvGZO35zsRVdSIliaD4vs,,,https://rmt-trust-dental-clinic.netlify.app/#services,,,,,idle,,maps,Dental clinic,4.8,129,,+91 93219 37733,"11, Sai Mansarovar Cooperative Housing Society",,,,,,,idle,,new,,,
a102851f-ee69-4eaa-8da4-7d9a2df0385b,,,,Dr. Jariwala Orthodontics & Dental Clinic in SV rd Borivali West l braces l Root Canal and dentist in Sv rd Borivali West,,Mumbai,https://www.google.com/maps/search/?api=1&query=Dr.%20Jariwala%20Orthodontics%20%26%20Dental%20Clinic%20in%20SV%20rd%20Borivali%20West%20l%20braces%20l%20Root%20Canal%20and%20dentist%20in%20Sv%20rd%20Borivali%20West&query_place_id=ChIJXxKrGNmw5zsRBeIYCXa8kYI,,,,,,,,idle,,maps,Dental clinic,4.7,88,,+91 98209 14071,"Silver Gold Society, Mandpeshwar rd.Opp union bank , Borivali West",,,,,,,idle,,new,,,
5c68e6bb-5ea7-4e00-bc34-978e8c6d2934,,,,Apurva Dental Clinic,,Mumbai,https://www.google.com/maps/search/?api=1&query=Apurva%20Dental%20Clinic&query_place_id=ChIJiYtvO9qw5zsRRxLjwqfSDUE,,,,,,,,idle,,maps,Dental clinic,5,14,,+91 92242 00984,"post office, Ossia elegance,shop no.2, Jain Mandir Rd, below daulat nager",,,,,,,idle,,new,,,
1dc0cb6b-868c-4353-a9a6-8af2cc37eeeb,,,,Apurva Dental Clinic,,Mumbai,https://www.google.com/maps/search/?api=1&query=Apurva%20Dental%20Clinic&query_place_id=ChIJAQCEYtmw5zsRr6xD-u5DJmc,,,,,,,,idle,,maps,Dental clinic,4.5,2,,+91 98693 45973,"Shop Number 6, Apartment, Rokadia Ln",,,,,,,idle,,new,,,
451a18bd-ea4f-475f-9a4a-166eec4007ef,,,,Nisha Dental Care,,Mumbai,https://www.google.com/maps/search/?api=1&query=Nisha%20Dental%20Care&query_place_id=ChIJrzQlqiax5zsRfbanpMNkWlU,,,https://nishadentalcare.com/,,,,,idle,,maps,Dental clinic,4.9,280,,+91 77387 97501,"Shop no 3, Trigun CHS, Eksar Rd, opp. Maratha Sahakari Bank",,,,,,,idle,,new,,,
